,experiment,hour,date,device_make,browser,aware
2,1,2,2,4,2,0
16,1,16,1,13,1,1
20,1,8,3,13,1,0
23,0,4,5,43,4,1
27,0,15,0,13,1,0
39,1,2,7,13,1,0
45,0,15,0,13,1,1
46,1,6,2,19,2,0
48,0,15,0,13,1,0
56,1,14,0,13,1,0
62,0,15,0,24,4,0
65,1,13,6,65,4,1
80,1,20,6,25,2,0
89,1,6,2,13,1,1
95,1,20,5,13,1,0
99,0,2,3,87,2,0
100,0,16,1,13,1,1
101,0,15,0,42,7,0
109,1,8,6,13,1,0
118,0,20,6,64,4,1
128,1,11,1,76,2,1
135,1,19,2,13,1,0
141,1,5,7,13,1,0
144,1,2,2,13,2,1
157,0,15,4,13,1,1
160,0,15,0,72,4,0
162,0,15,0,5,4,1
192,1,1,6,13,1,1
201,0,18,5,13,1,1
223,1,0,2,13,2,0
225,1,20,6,66,7,0
226,0,19,1,13,1,1
240,0,22,5,13,1,0
241,1,20,5,13,2,1
244,1,6,5,13,1,1
249,0,15,0,13,1,1
253,0,19,2,13,1,0
258,1,6,2,68,4,0
259,1,3,4,94,7,0
267,1,15,7,13,1,1
282,1,20,5,13,1,1
292,1,20,5,13,1,1
299,1,19,6,103,4,0
300,0,15,0,13,1,0
301,1,21,5,13,1,1
305,1,21,2,13,1,1
310,0,10,2,68,4,1
323,1,5,1,68,2,0
335,0,15,0,13,1,0
352,0,14,5,13,1,1
355,1,22,5,13,1,0
356,0,8,3,54,4,0
357,0,15,0,43,2,1
358,1,21,5,47,2,1
362,0,15,0,21,1,1
366,1,21,5,13,2,0
393,1,0,1,46,2,1
401,1,3,2,13,1,1
404,1,16,7,13,1,0
415,1,2,7,66,4,0
418,0,15,0,66,2,1
422,0,15,0,1,4,0
430,1,16,5,13,1,1
434,0,2,6,13,1,0
438,0,15,0,13,1,1
439,1,0,6,54,7,0
447,1,14,6,13,1,0
466,0,15,0,33,4,0
471,1,8,6,13,1,0
475,0,15,0,72,7,0
484,1,6,6,48,7,1
486,0,15,0,13,1,0
488,0,15,0,68,7,1
510,0,15,0,13,1,0
514,0,0,2,13,1,1
527,0,12,6,13,1,1
529,0,15,2,13,1,0
549,1,14,6,13,2,1
554,0,12,7,13,1,0
556,0,21,1,54,4,0
558,0,22,5,66,4,1
559,1,10,0,13,1,0
563,0,3,4,13,1,1
564,0,13,7,72,7,1
587,1,8,0,44,2,1
633,0,2,7,51,7,0
637,0,9,7,13,1,0
642,0,15,0,64,4,1
650,1,17,5,13,1,0
652,1,9,0,13,2,1
653,0,15,0,13,1,0
654,1,15,5,13,2,1
658,0,15,6,13,1,0
663,1,0,0,13,1,0
668,1,17,7,13,1,1
671,0,15,0,13,1,1
682,0,15,0,13,1,0
685,0,10,2,13,1,0
689,1,16,6,13,1,0
698,1,12,7,13,1,0
701,1,19,6,13,1,1
717,0,15,0,56,2,1
718,1,9,1,13,1,1
726,0,15,0,81,7,0
728,1,11,2,13,2,0
738,0,5,7,13,1,1
751,0,15,0,29,4,1
759,0,15,0,13,1,0
762,0,15,0,40,4,0
763,1,10,1,13,1,0
764,0,15,0,81,7,1
766,1,6,6,19,2,0
771,1,5,7,25,2,0
775,1,19,6,14,1,0
781,1,16,1,88,2,1
783,0,15,0,13,1,1
787,1,1,0,13,1,0
794,0,19,0,114,5,0
797,0,8,4,13,2,0
798,1,15,7,61,2,1
799,1,12,0,104,4,0
801,0,15,0,111,2,0
802,1,19,2,13,1,0
806,0,14,6,13,1,0
823,0,15,0,13,1,1
833,1,9,1,13,1,0
837,1,0,3,33,2,1
838,1,7,3,76,4,0
839,1,17,5,13,1,1
846,0,8,3,51,2,0
862,0,10,6,13,1,0
878,1,3,3,13,1,0
879,0,3,3,26,1,1
880,1,20,5,13,1,0
893,0,16,4,33,4,0
896,1,5,5,6,4,0
901,0,15,0,18,0,0
909,0,15,0,43,7,0
929,1,23,4,13,1,1
934,0,20,5,13,1,0
945,1,17,5,67,2,0
952,1,8,2,13,1,0
976,1,7,5,58,7,0
997,0,16,5,13,1,1
1005,0,15,0,13,1,1
1007,1,22,2,51,2,0
1014,1,16,1,13,1,1
1019,1,2,6,66,2,1
1038,0,15,0,66,4,1
1042,1,16,1,61,2,0
1045,1,13,6,13,1,0
1047,1,20,4,47,2,1
1054,0,4,2,13,1,1
1057,1,8,6,13,1,1
1064,1,14,1,68,2,1
1067,1,8,1,27,2,1
1070,1,16,5,13,1,0
1072,0,15,0,13,1,0
1090,1,0,7,13,1,1
1097,1,8,0,114,5,0
1111,0,15,0,13,1,0
1115,0,4,2,68,4,0
1117,0,15,1,64,7,0
1119,1,1,3,48,2,1
1133,0,3,1,86,7,1
1138,1,6,0,27,2,1
1142,0,15,0,73,7,1
1152,1,16,1,13,1,1
1161,0,15,0,103,4,0
1167,0,15,0,13,1,1
1171,0,15,7,13,4,1
1180,1,13,2,69,7,1
1186,1,7,0,22,2,0
1190,0,16,7,13,1,1
1196,1,9,6,13,2,0
1226,1,13,6,27,2,1
1231,0,15,0,13,1,0
1235,1,5,6,13,1,1
1236,1,7,2,13,1,0
1239,1,2,1,13,1,0
1252,1,6,1,13,1,1
1255,0,15,0,64,2,1
1260,1,22,6,13,1,1
1271,1,2,0,26,1,0
1272,1,18,5,66,2,0
1285,0,15,0,13,1,1
1286,0,15,0,13,1,1
1309,1,4,2,23,2,0
1312,0,7,7,66,4,0
1319,0,20,4,13,1,1
1373,1,18,5,62,2,1
1376,0,15,6,46,7,0
1378,1,2,7,27,2,0
1386,0,15,0,2,1,0
1396,1,9,7,13,1,0
1408,0,6,6,13,1,1
1418,0,22,6,13,1,1
1429,0,15,0,83,7,0
1433,1,11,7,41,7,1
1435,0,9,7,66,2,0
1437,1,20,5,13,1,1
1450,0,5,2,13,1,0
1459,0,18,6,13,1,0
1470,0,15,0,71,7,0
1475,1,16,2,13,2,0
1492,1,6,6,13,1,0
1497,0,9,7,13,1,1
1498,0,8,3,13,1,1
1514,0,15,0,13,1,0
1516,1,7,6,77,4,1
1519,1,3,6,13,1,1
1521,0,15,0,65,7,1
1522,1,10,0,13,1,1
1529,1,14,1,13,1,1
1540,0,15,0,72,4,0
1560,1,15,5,104,4,0
1571,0,15,0,54,4,0
1578,1,8,3,13,1,1
1580,1,17,5,21,2,1
1587,1,1,7,13,1,0
1591,0,15,0,54,4,1
1595,0,15,0,36,4,1
1616,1,8,2,90,2,1
1624,0,3,1,13,1,0
1632,0,19,5,13,1,0
1637,1,15,5,13,1,1
1639,1,11,4,13,1,0
1641,1,9,6,13,1,1
1664,1,14,6,13,1,1
1678,0,9,1,13,1,0
1684,0,6,1,13,1,0
1685,0,2,1,13,1,1
1689,0,3,7,13,1,0
1709,1,13,6,13,4,0
1710,1,12,2,13,1,0
1727,1,19,5,68,7,1
1728,0,6,4,13,1,0
1750,0,15,0,13,4,1
1754,1,20,4,94,2,0
1763,0,6,7,13,1,1
1766,1,15,2,66,2,1
1768,1,19,1,13,1,1
1782,1,9,0,13,1,1
1783,1,11,6,13,1,0
1788,0,2,3,13,4,0
1795,1,1,7,17,1,0
1796,0,8,2,60,7,0
1806,1,3,3,13,1,0
1815,0,3,4,82,4,0
1832,0,18,5,13,1,0
1835,1,16,5,42,2,0
1840,0,18,5,13,1,0
1841,1,15,5,13,2,0
1845,0,15,0,55,4,1
1846,0,0,7,26,1,1
1862,1,4,6,73,2,0
1867,1,0,0,13,1,0
1871,0,5,2,13,1,0
1872,1,6,7,5,2,1
1879,1,1,3,13,1,0
1880,1,7,0,13,1,0
1881,0,14,1,13,1,0
1884,1,3,3,71,7,1
1893,1,7,0,13,1,0
1894,1,1,0,81,7,0
1907,1,10,6,13,1,1
1915,1,7,1,13,1,0
1935,0,10,6,19,4,0
1943,0,15,0,33,4,1
1952,0,8,6,13,1,0
1966,0,10,7,12,4,0
1967,1,10,0,72,7,0
1972,0,10,2,13,1,1
1977,1,8,7,73,2,1
1978,0,15,0,13,1,1
1979,0,15,0,66,4,1
1988,0,18,2,79,1,0
1990,0,20,1,71,4,1
1994,1,17,2,13,1,0
2004,1,14,1,13,1,1
2018,0,10,4,13,1,0
2020,1,8,6,13,1,0
2022,1,6,6,68,7,1
2040,0,7,5,13,1,0
2046,1,21,6,113,2,1
2051,1,13,5,13,1,1
2054,0,8,1,13,1,1
2057,1,5,6,13,1,0
2068,1,19,5,13,1,0
2077,0,14,6,13,1,0
2083,0,5,2,13,1,0
2087,1,6,6,13,1,1
2092,1,13,1,66,4,0
2115,0,11,6,13,1,1
2116,0,15,0,13,1,1
2123,1,18,6,68,2,1
2125,1,10,1,13,1,1
2126,1,20,5,85,7,0
2134,1,10,2,13,1,0
2139,0,8,1,110,4,0
2145,1,18,5,13,1,0
2172,1,9,0,13,2,0
2183,1,9,3,13,1,0
2184,1,3,7,13,2,0
2187,0,12,7,1,4,1
2197,0,8,4,67,2,1
2233,1,15,5,39,4,0
2236,0,19,6,97,4,0
2238,0,6,7,72,2,1
2239,1,2,1,13,2,0
2253,1,7,3,68,7,0
2256,0,10,4,13,1,1
2263,1,16,1,65,7,0
2270,0,21,5,21,1,1
2277,0,15,0,13,1,0
2286,0,12,6,42,1,0
2287,1,12,2,13,1,0
2306,0,2,7,13,1,1
2333,0,15,0,13,1,0
2346,1,10,0,87,7,1
2347,0,15,0,13,1,0
2357,0,15,0,13,1,1
2361,0,15,0,13,1,0
2363,0,2,5,13,1,0
2364,1,2,4,13,1,0
2367,1,8,6,13,2,0
2383,1,17,4,75,7,0
2386,0,15,0,1,4,1
2387,1,8,1,13,1,0
2400,1,16,5,13,2,0
2409,0,4,7,13,1,1
2416,0,4,6,26,1,0
2417,1,10,6,65,4,0
2421,0,15,0,78,4,1
2427,1,7,2,21,2,0
2428,0,21,5,47,4,1
2440,0,15,0,47,7,1
2453,1,15,6,13,1,0
2456,1,10,0,73,2,0
2457,0,15,0,13,1,1
2465,1,0,2,13,1,1
2476,0,0,6,13,1,0
2477,1,0,6,13,1,0
2481,1,11,7,13,1,0
2485,1,16,5,13,1,1
2487,0,5,7,43,7,0
2488,1,4,1,13,2,0
2490,1,8,2,13,1,0
2502,0,15,0,51,4,0
2521,1,15,5,13,1,0
2526,1,3,7,13,1,0
2531,1,12,2,18,0,1
2537,0,8,7,54,7,1
2547,0,1,2,41,7,0
2556,0,15,7,13,1,0
2558,1,7,0,13,1,1
2563,1,8,6,24,2,0
2564,0,7,6,79,4,0
2573,1,18,5,70,4,0
2574,1,8,0,13,1,0
2585,1,6,0,54,7,1
2589,0,22,5,13,1,1
2592,0,17,4,13,1,1
2598,1,1,0,13,1,1
2600,1,3,1,13,1,0
2602,0,15,0,68,4,0
2606,1,14,6,27,2,0
2610,1,11,6,13,1,0
2614,1,17,5,13,1,1
2620,1,10,1,61,2,0
2625,0,16,7,46,7,1
2630,0,15,0,114,5,0
2631,0,15,0,114,6,0
2637,1,3,3,13,1,0
2647,0,8,5,72,4,1
2656,0,19,1,13,1,0
2660,0,15,0,13,1,0
2665,1,16,6,13,1,0
2674,1,19,4,68,7,1
2675,1,7,0,13,1,0
2681,1,16,6,75,2,1
2711,1,16,6,13,1,0
2720,0,15,0,13,1,0
2722,0,15,0,13,1,1
2731,1,9,2,27,2,1
2732,1,0,4,25,2,0
2734,1,6,3,13,1,1
2735,0,15,0,13,1,0
2744,1,10,3,13,1,1
2745,1,6,3,13,1,1
2766,1,5,0,13,2,1
2771,0,15,0,13,1,0
2778,0,15,0,13,1,0
2779,0,15,0,71,7,1
2789,1,13,2,13,1,1
2791,0,3,4,13,1,0
2799,0,13,1,13,1,0
2813,1,9,0,13,1,0
2819,0,0,3,105,2,0
2822,1,11,2,13,1,1
2826,1,12,6,13,1,0
2827,0,14,5,13,1,0
2831,1,23,1,13,1,1
2847,0,1,6,13,1,1
2854,0,15,0,46,7,1
2856,0,15,0,13,1,1
2863,1,14,0,13,1,0
2874,0,10,6,72,4,0
2880,1,8,2,68,7,0
2895,1,18,4,13,1,0
2904,1,14,5,13,1,1
2910,0,15,0,13,1,0
2915,0,11,2,13,1,1
2918,0,15,0,13,1,1
2921,1,7,6,13,1,1
2925,1,21,5,21,1,1
2928,1,15,2,42,7,0
2931,1,17,6,13,1,0
2938,0,14,7,13,1,0
2945,1,7,5,94,2,0
2947,1,15,5,13,1,1
2948,0,19,5,13,1,0
2951,0,15,0,13,1,1
2952,1,15,5,13,1,0
2958,1,9,4,13,1,1
2961,1,22,4,13,1,1
2973,1,3,4,72,7,0
2976,0,15,0,72,4,1
2978,0,9,6,13,1,0
2981,0,16,5,47,7,1
2984,0,3,1,13,1,0
2988,1,18,5,13,1,0
2989,1,11,0,13,1,0
2994,1,22,5,68,4,0
2998,0,15,0,13,1,1
3005,1,10,0,13,1,1
3015,1,4,7,64,2,1
3018,1,8,2,68,1,0
3033,1,16,1,13,1,0
3036,0,15,0,64,7,1
3037,1,8,0,13,1,1
3056,1,11,2,46,7,0
3067,1,6,1,13,1,1
3076,1,15,5,13,1,0
3090,1,6,2,13,1,0
3097,1,14,1,2,4,0
3099,1,10,1,13,1,1
3111,1,9,3,13,1,0
3113,1,9,1,13,1,1
3119,1,17,1,13,1,0
3123,0,12,1,13,2,0
3131,1,12,7,41,7,0
3135,1,16,7,13,1,0
3138,1,14,4,13,2,0
3139,0,11,1,66,7,1
3140,1,12,6,13,1,1
3145,0,13,6,68,4,0
3149,0,8,4,13,1,1
3158,1,19,1,13,1,0
3161,0,15,0,13,1,0
3166,1,20,6,54,4,0
3190,0,14,5,51,4,0
3193,0,10,6,68,4,1
3197,1,11,6,13,1,0
3213,0,15,0,13,1,1
3216,1,8,0,13,1,1
3237,1,12,0,13,1,0
3240,0,3,1,114,5,1
3246,0,15,0,41,7,1
3250,0,14,5,68,7,0
3260,1,10,2,72,2,1
3262,0,15,0,13,1,0
3271,0,14,1,53,7,1
3274,1,0,2,13,1,0
3275,0,12,6,13,1,1
3280,1,10,0,13,1,0
3286,1,11,0,13,1,0
3289,0,15,0,13,1,1
3290,0,15,0,24,4,1
3305,0,15,0,13,1,0
3314,1,8,0,13,1,0
3330,0,5,3,13,1,0
3331,0,15,0,13,1,0
3332,1,4,6,43,2,0
3334,0,15,0,13,1,0
3337,1,9,2,86,7,1
3341,1,4,1,13,1,0
3369,1,18,5,13,1,1
3372,0,7,1,71,7,0
3374,0,4,7,13,1,0
3383,1,10,3,93,4,1
3390,0,15,0,23,4,0
3404,1,20,5,100,2,1
3412,1,15,7,13,1,0
3413,1,8,0,13,1,0
3426,0,8,1,68,4,1
3433,0,15,0,45,7,1
3437,0,15,1,72,4,1
3444,0,15,0,72,4,1
3445,0,15,0,13,1,0
3448,1,10,0,47,2,0
3449,1,4,3,13,1,1
3473,1,5,2,66,2,1
3478,1,11,1,26,1,1
3487,0,21,1,13,1,1
3490,1,9,0,92,2,0
3492,1,5,5,13,1,1
3496,0,15,0,13,1,1
3499,0,18,2,68,4,1
3516,0,11,1,13,1,1
3528,0,9,4,13,1,1
3532,0,18,5,74,4,0
3537,0,15,0,13,1,1
3543,0,4,7,13,1,1
3545,1,11,2,13,1,0
3546,0,18,6,71,7,1
3565,1,10,2,13,1,0
3571,0,6,1,13,1,0
3574,0,4,2,73,2,1
3577,0,15,0,64,7,1
3581,0,15,0,13,1,1
3588,1,8,5,13,1,0
3590,1,4,3,13,1,1
3594,0,15,0,13,1,0
3596,0,0,1,108,4,1
3621,0,5,1,27,1,0
3630,0,2,1,13,1,0
3639,0,15,0,13,1,0
3642,0,16,6,95,4,0
3644,0,15,0,13,1,0
3645,0,6,3,76,7,1
3661,1,11,0,13,1,0
3665,0,20,5,13,1,0
3666,1,6,1,5,4,1
3684,0,20,5,5,4,0
3697,0,17,7,6,4,1
3700,0,5,4,13,1,0
3703,0,13,5,73,4,0
3712,0,15,0,64,7,0
3714,1,7,3,13,1,0
3722,1,4,7,13,1,1
3730,1,13,0,13,1,1
3734,1,15,1,13,1,0
3742,1,17,6,49,2,1
3747,0,15,0,13,1,1
3752,1,15,1,13,2,0
3761,1,7,6,13,1,1
3763,0,15,0,66,4,0
3770,0,14,2,23,4,1
3776,1,8,3,13,1,0
3777,1,7,3,13,1,0
3796,0,22,6,13,2,1
3805,0,20,1,81,7,0
3808,1,8,1,13,2,0
3816,0,16,7,13,1,0
3818,0,8,3,43,7,1
3825,0,15,0,13,1,1
3833,0,12,1,27,4,0
3843,1,3,2,114,5,1
3845,0,8,7,72,2,1
3848,1,15,7,66,7,0
3850,0,10,3,13,1,1
3852,1,3,1,26,1,1
3854,1,2,7,13,1,0
3862,0,2,6,13,1,0
3877,1,22,4,13,1,1
3880,1,7,0,13,2,1
3885,1,7,2,73,7,1
3886,1,19,5,13,1,0
3888,1,19,6,42,7,0
3898,1,21,5,66,4,0
3900,1,0,0,13,1,1
3903,1,17,6,13,1,1
3917,0,15,0,87,7,0
3920,1,3,0,73,2,1
3946,1,21,6,73,7,0
3957,0,1,3,23,4,0
3961,1,13,0,56,2,1
3962,0,5,1,13,1,1
3982,0,13,4,13,1,0
3986,1,7,2,13,2,0
3991,1,13,2,66,7,0
3995,0,5,2,2,2,0
3996,1,12,5,13,1,1
4005,0,17,6,13,1,1
4011,1,8,3,66,2,0
4012,0,9,1,13,1,0
4015,0,18,5,13,1,0
4016,0,17,5,13,1,1
4028,1,13,7,44,2,0
4031,1,14,4,68,7,0
4039,1,18,6,13,1,0
4048,1,5,3,48,7,0
4061,0,21,2,13,1,0
4068,0,15,5,13,1,1
4069,0,15,0,13,1,0
4070,1,9,4,13,1,1
4071,1,9,0,13,1,0
4081,0,0,4,13,1,0
4102,1,11,6,33,2,0
4104,1,22,5,75,4,0
4109,0,15,7,42,7,1
4112,0,15,0,50,2,0
4115,0,15,2,13,1,1
4124,1,13,5,13,1,0
4129,1,6,1,34,2,0
4133,0,7,7,13,1,0
4142,0,15,0,13,1,0
4145,1,10,1,69,4,1
4154,1,14,6,13,1,0
4156,0,19,5,13,1,1
4157,0,15,0,13,1,1
4164,1,6,2,13,1,1
4166,0,15,0,13,1,0
4168,0,18,5,43,7,1
4172,1,2,3,13,1,1
4207,1,14,7,13,4,1
4229,1,8,0,62,2,1
4239,1,10,6,13,1,0
4241,1,16,5,13,1,1
4243,1,3,5,13,1,0
4245,1,5,5,114,5,0
4250,1,12,6,13,1,0
4277,0,6,1,68,4,1
4285,0,9,3,13,1,0
4294,0,0,7,66,4,0
4296,0,20,6,13,1,1
4297,1,7,7,13,1,0
4303,1,7,7,15,1,1
4308,0,16,5,64,2,1
4309,0,15,0,13,1,1
4338,1,16,2,13,1,1
4340,1,15,7,13,1,1
4344,1,10,3,19,2,1
4345,1,1,7,13,1,0
4353,1,9,0,0,2,1
4355,1,14,7,94,7,0
4360,1,14,1,13,1,0
4361,1,18,6,81,7,1
4362,1,14,1,13,1,0
4363,0,15,0,46,7,0
4374,0,15,0,93,2,0
4375,1,5,6,13,1,0
4393,1,1,7,13,1,0
4401,0,7,2,13,1,1
4403,1,7,2,13,1,0
4405,0,15,5,47,7,0
4412,1,18,5,13,1,0
4415,1,10,1,21,1,1
4449,1,20,5,13,1,1
4455,1,10,1,13,1,0
4462,1,22,5,13,1,1
4463,1,9,1,48,7,0
4473,1,9,4,61,7,0
4483,0,21,6,13,1,1
4487,1,4,4,13,1,0
4490,1,15,5,24,1,1
4492,0,13,6,77,2,0
4494,0,15,0,48,4,1
4498,1,5,0,13,1,1
4501,0,15,0,72,7,0
4510,1,10,0,9,2,0
4512,1,5,3,13,1,0
4516,1,10,2,19,2,0
4529,0,11,1,13,1,0
4532,1,15,6,13,2,1
4545,1,15,7,13,1,1
4551,0,15,0,13,1,0
4553,1,1,3,13,1,0
4558,0,15,0,13,1,0
4565,1,4,2,13,1,0
4579,0,15,0,13,1,0
4581,1,5,5,13,1,1
4582,1,14,5,13,1,1
4583,0,15,0,68,2,0
4594,1,9,0,43,2,1
4598,0,15,0,13,1,1
4601,0,10,4,22,2,0
4604,1,12,5,59,2,0
4608,0,15,0,13,1,1
4609,1,14,4,13,1,1
4623,1,1,6,13,1,0
4637,1,4,3,13,1,0
4643,1,10,1,1,2,0
4648,1,1,7,58,2,0
4655,0,4,4,13,1,0
4658,1,12,4,13,1,1
4661,0,20,5,13,1,0
4673,0,4,6,13,1,1
4685,0,4,1,13,1,0
4701,1,0,7,13,2,1
4706,0,14,7,114,6,0
4710,1,12,7,13,1,0
4719,1,7,5,47,2,0
4726,0,14,6,13,1,1
4727,0,15,7,68,4,1
4729,0,12,6,66,4,1
4732,0,7,2,74,4,1
4735,0,7,7,13,2,0
4749,0,12,1,114,5,0
4765,1,21,4,13,1,0
4767,1,17,4,50,2,0
4774,0,15,0,75,4,0
4775,1,19,5,13,2,0
4783,1,21,4,42,4,1
4794,0,15,0,23,4,0
4800,1,6,1,13,1,0
4802,1,11,1,66,2,1
4809,1,11,1,13,1,0
4811,0,22,1,21,4,1
4814,0,1,6,83,7,1
4820,1,16,6,69,7,0
4830,1,14,1,88,2,1
4834,1,18,5,26,1,1
4841,1,20,4,13,1,1
4843,0,2,2,13,1,0
4845,0,15,0,13,1,0
4847,1,4,2,13,1,0
4848,1,19,1,13,1,1
4858,0,17,1,13,1,1
4863,0,8,7,64,2,1
4865,1,7,7,13,1,0
4867,0,15,0,68,4,0
4871,0,1,3,114,5,0
4878,0,15,0,13,1,1
4881,1,2,7,13,1,0
4893,0,15,0,13,1,1
4897,0,1,6,13,1,0
4898,0,1,6,20,1,1
4901,1,5,4,13,1,0
4912,1,17,5,61,2,1
4931,1,3,6,13,1,0
4947,1,14,4,46,7,0
4954,1,18,5,13,1,1
4955,0,15,0,68,4,0
4958,1,20,5,13,1,1
4975,0,4,3,13,1,1
4977,1,20,5,13,1,0
